YearsSinceLastPromotion,JobSatisfaction,JobLevel,JobRole,YearsInCurrentRole,WorkLifeBalance,JobInvolvement,Gender,Department,RelationshipSatisfaction,YearsAtCompany,MonthlyIncome,TrainingTimesLastYear,MaritalStatus,EnvironmentSatisfaction,Age,HourlyRate,PerformanceRating,Attrition,DistanceFromHome,OverTime,NumCompaniesWorked
6,3,4,Executive,13,4,4,Male,Marketing,1,24,12936,32,Divorced,2,31,17,4,No,13,Yes,2
8,1,5,Executive,9,2,4,Male,HR,1,12,15669,74,Married,3,37,15,1,No,9,No,3
3,1,5,Assistant,8,2,2,Female,Sales,2,18,13878,8,Married,3,40,74,4,No,46,No,2
3,3,3,Assistant,1,3,4,Male,Sales,3,28,11713,14,Divorced,3,32,64,3,No,17,No,1
5,3,5,Analyst,3,1,1,Male,HR,1,19,7937,91,Married,4,40,22,3,No,35,Yes,4
2,4,2,Analyst,4,3,1,Male,HR,3,16,4876,29,Married,1,27,32,3,No,15,Yes,1
2,3,4,Analyst,3,2,4,Female,Marketing,1,12,7032,43,Divorced,3,59,44,1,Yes,2,Yes,1
8,3,2,Analyst,9,4,2,Male,Marketing,3,6,5205,22,Single,3,26,36,3,No,14,Yes,2
6,1,2,Assistant,6,3,4,Female,IT,3,1,3546,67,Married,4,42,95,4,No,49,Yes,4
8,4,3,Analyst,3,2,3,Male,IT,2,12,13745,77,Divorced,4,51,23,3,No,7,Yes,3
1,4,5,Manager,8,2,1,Female,Sales,2,24,5069,82,Married,1,30,36,1,No,1,No,1
3,5,5,Analyst,9,3,3,Female,HR,3,11,19066,87,Divorced,1,41,24,3,Yes,27,Yes,4
7,5,5,Manager,10,4,1,Female,Sales,2,11,18971,56,Single,4,41,81,4,No,49,Yes,2
8,5,2,Manager,4,1,3,Male,Marketing,4,9,3016,44,Married,1,44,95,4,No,11,Yes,3
2,5,4,Executive,13,3,2,Male,Finance,2,2,5809,99,Single,3,41,23,2,No,19,Yes,2
7,4,4,Executive,5,4,4,Male,Marketing,3,29,15542,70,Single,1,47,61,4,Yes,24,No,2
7,1,2,Executive,3,1,2,Female,Finance,2,25,11519,17,Divorced,2,48,54,1,No,29,No,3
2,5,1,Analyst,14,1,3,Male,HR,3,21,13189,44,Married,4,32,50,3,Yes,7,No,3
7,5,2,Assistant,5,2,4,Male,HR,4,8,8592,48,Married,4,37,33,4,No,23,Yes,4
5,4,5,Manager,2,3,1,Female,HR,1,1,5354,14,Married,3,21,16,3,Yes,13,No,2
8,2,2,Assistant,2,1,1,Male,IT,3,1,15463,46,Married,2,48,59,1,Yes,36,Yes,1
0,1,1,Assistant,11,2,2,Male,IT,3,28,17648,4,Married,4,40,97,3,No,34,Yes,3
8,1,2,Analyst,13,1,1,Female,Finance,4,12,18241,99,Divorced,1,34,47,3,Yes,44,Yes,3
7,1,5,Assistant,5,1,3,Female,Sales,3,4,11735,61,Married,4,46,78,1,No,3,Yes,2
9,2,3,Assistant,7,1,2,Male,Sales,3,1,18171,83,Single,2,50,40,4,No,1,No,2
7,5,4,Executive,1,2,3,Female,Finance,3,12,10707,6,Single,2,34,48,1,No,3,No,2
7,5,1,Executive,3,1,2,Male,IT,2,14,10043,73,Married,1,42,77,4,No,13,Yes,3
9,1,3,Manager,1,2,3,Male,Marketing,1,1,5748,64,Divorced,1,43,42,1,No,47,Yes,3
6,2,4,Manager,8,2,2,Male,Finance,2,12,12548,97,Divorced,3,32,94,3,No,49,Yes,1
2,2,3,Executive,2,1,1,Male,Sales,4,5,12558,86,Married,2,41,92,3,Yes,26,No,1
5,4,2,Analyst,6,1,3,Male,Finance,3,2,9412,93,Single,1,56,20,2,No,18,No,3
9,4,2,Analyst,11,2,4,Female,Finance,3,4,11377,39,Married,1,52,25,3,No,29,Yes,3
7,5,4,Manager,6,1,2,Female,HR,3,24,11103,82,Married,1,22,60,4,No,34,No,2
7,5,4,Executive,9,3,2,Male,IT,3,11,6915,56,Married,3,38,34,3,Yes,44,Yes,1
3,5,2,Analyst,6,4,3,Female,HR,4,22,8341,32,Divorced,3,42,50,1,Yes,13,Yes,4
7,1,2,Assistant,10,1,2,Female,IT,2,18,10940,97,Divorced,1,48,30,1,No,7,No,2
7,1,4,Manager,6,1,2,Male,Finance,2,19,8865,79,Single,2,49,84,3,No,44,No,4
0,4,4,Manager,13,4,2,Female,IT,2,18,12851,33,Single,4,58,86,3,No,47,No,3
4,5,4,Assistant,11,3,2,Female,Sales,2,20,3037,29,Married,1,44,59,4,No,3,No,3
6,5,5,Assistant,1,2,1,Male,HR,2,15,4978,23,Single,3,56,62,1,No,42,No,4
7,4,5,Manager,7,4,2,Male,Finance,4,21,17429,95,Married,1,27,18,1,No,27,Yes,1
8,1,2,Assistant,14,2,3,Male,Sales,2,28,18592,35,Single,2,35,62,4,Yes,23,Yes,2
5,1,5,Analyst,14,4,2,Male,IT,4,15,13921,15,Married,4,27,98,2,No,39,Yes,2
9,4,1,Manager,12,2,3,Male,IT,1,9,9241,82,Divorced,2,20,81,1,No,46,Yes,2
4,2,2,Analyst,6,2,2,Male,Sales,4,23,6454,57,Married,3,24,42,2,No,22,Yes,2
7,3,1,Manager,13,3,2,Male,IT,4,8,7674,2,Divorced,2,22,44,3,No,1,No,1
5,3,3,Analyst,14,2,1,Female,HR,4,23,6360,80,Divorced,1,20,43,2,No,11,Yes,4
1,4,1,Executive,8,3,4,Male,Marketing,2,27,7298,30,Single,1,23,35,4,Yes,4,Yes,2
8,2,3,Analyst,1,3,2,Female,IT,3,10,16799,2,Single,1,59,56,4,No,11,Yes,2
8,4,1,Assistant,8,1,2,Female,Finance,4,8,6475,11,Divorced,1,54,64,2,Yes,17,No,2
0,5,3,Executive,8,2,1,Male,IT,3,29,9560,37,Married,4,51,17,1,No,18,Yes,1
8,2,3,Manager,1,4,2,Female,Finance,3,11,16062,45,Married,3,53,79,1,Yes,38,Yes,1
4,5,2,Analyst,11,2,1,Female,IT,4,21,15905,93,Single,2,44,37,1,No,26,Yes,1
8,4,4,Manager,7,1,1,Female,IT,2,19,10297,61,Married,2,29,19,1,Yes,4,No,3
4,1,4,Executive,7,1,1,Male,Finance,4,12,17084,69,Married,4,40,39,1,No,18,No,4
9,5,2,Assistant,7,2,1,Female,HR,2,7,18169,76,Married,2,58,49,3,No,47,Yes,4
5,1,3,Assistant,12,3,3,Female,Marketing,1,1,7233,52,Divorced,4,46,79,4,No,11,No,1
8,1,4,Assistant,13,4,2,Male,Marketing,3,3,5462,33,Divorced,1,46,93,3,No,36,No,4
6,4,4,Manager,13,4,4,Female,HR,4,23,13859,4,Married,1,21,53,4,No,10,No,1
3,4,1,Assistant,3,2,2,Female,IT,3,13,19909,85,Single,1,32,32,3,Yes,9,No,4
5,3,5,Assistant,3,1,2,Female,Marketing,4,4,11106,72,Married,1,28,39,1,Yes,31,Yes,3
7,5,2,Manager,11,2,2,Female,HR,1,23,3462,32,Single,1,55,15,2,Yes,27,Yes,2
4,1,5,Manager,8,2,1,Female,HR,3,26,15308,26,Divorced,2,41,76,2,No,7,Yes,1
3,5,3,Executive,8,2,3,Male,Marketing,4,10,8916,11,Married,2,45,23,2,No,19,No,1
6,5,1,Assistant,8,3,4,Female,Finance,4,6,13170,17,Married,1,31,55,2,Yes,44,No,4
2,4,4,Executive,12,3,2,Male,Sales,3,4,15735,46,Single,2,36,36,1,No,32,No,3
3,5,1,Analyst,3,1,3,Female,Finance,4,23,15542,41,Single,4,33,80,2,Yes,17,No,3
6,3,2,Analyst,4,3,1,Male,IT,1,8,3302,72,Married,4,33,59,2,No,34,No,4
4,2,3,Analyst,12,3,4,Male,Finance,1,14,3776,88,Married,1,53,66,1,No,31,Yes,4
0,1,1,Analyst,2,1,3,Male,Sales,3,24,14451,29,Single,4,39,34,4,No,31,Yes,1
5,2,1,Manager,11,3,2,Female,Sales,1,23,3623,36,Divorced,4,30,26,2,No,19,Yes,1
8,2,1,Executive,3,4,4,Female,HR,1,18,4459,41,Single,4,35,88,3,No,37,No,3
9,1,4,Executive,5,4,2,Female,IT,2,8,10030,15,Married,2,50,78,2,No,4,No,1
2,2,3,Manager,3,1,2,Female,HR,4,5,17723,26,Divorced,3,25,46,3,Yes,30,Yes,2
3,5,4,Analyst,4,1,1,Female,Finance,2,14,7775,22,Divorced,2,38,76,3,No,34,Yes,4
9,4,1,Executive,7,3,4,Male,Finance,4,25,4061,69,Divorced,1,56,19,1,No,11,Yes,1
1,3,4,Assistant,3,4,1,Male,Marketing,4,22,3287,94,Divorced,3,23,58,4,No,21,No,4
2,3,4,Manager,1,2,3,Male,HR,4,15,18081,77,Married,1,23,43,4,No,22,Yes,2
4,5,2,Manager,13,3,3,Female,HR,1,20,10955,26,Divorced,4,39,47,3,No,28,Yes,3
5,4,5,Assistant,14,4,3,Female,HR,2,25,4143,16,Single,2,29,27,2,No,31,No,2
1,4,5,Analyst,1,2,3,Male,HR,3,17,9544,5,Single,3,43,64,1,No,33,No,1
1,2,2,Analyst,4,3,1,Female,Sales,3,4,12615,77,Single,3,54,16,3,No,48,Yes,4
5,3,2,Executive,1,3,1,Female,Marketing,4,27,18882,82,Married,1,45,89,3,Yes,20,No,4
0,3,4,Assistant,6,3,4,Male,IT,3,21,16196,9,Divorced,2,56,42,3,No,2,No,2
1,3,4,Executive,4,4,4,Male,IT,4,20,11849,44,Single,4,57,32,3,No,3,Yes,4
3,1,3,Analyst,5,2,2,Female,IT,2,13,10713,55,Single,2,40,87,2,No,29,Yes,4
0,3,5,Executive,6,4,4,Female,Sales,3,15,16909,30,Single,4,59,80,2,No,10,Yes,1
4,1,4,Assistant,2,4,1,Male,Marketing,2,9,11870,90,Divorced,4,58,60,1,No,14,No,3
2,5,3,Assistant,1,4,4,Female,Marketing,1,17,5744,39,Single,3,40,31,1,No,8,No,3
9,1,5,Assistant,13,4,4,Male,Sales,1,3,4679,2,Divorced,2,29,47,3,Yes,37,Yes,3
0,1,3,Analyst,10,2,1,Male,HR,4,9,17689,46,Divorced,1,57,47,4,No,39,No,2
3,4,3,Manager,12,1,1,Male,Finance,4,28,8002,91,Divorced,4,23,98,4,No,2,Yes,1
0,2,2,Manager,12,4,1,Female,HR,1,23,6966,23,Married,1,39,44,2,Yes,14,Yes,4
1,4,1,Manager,2,2,1,Male,IT,2,21,16766,10,Married,3,36,36,2,No,42,Yes,2
9,3,1,Executive,14,2,2,Male,HR,2,11,9335,74,Divorced,1,26,67,3,No,10,No,1
6,4,1,Assistant,6,4,2,Female,Sales,4,22,11784,30,Divorced,2,23,60,4,No,26,Yes,4
0,2,3,Analyst,13,2,2,Male,IT,3,20,19203,46,Married,4,48,58,1,No,40,No,4
5,1,4,Manager,10,3,2,Female,Finance,2,21,16185,77,Married,3,33,89,4,No,40,No,3
3,1,1,Manager,9,4,2,Female,IT,4,24,12776,42,Divorced,4,22,48,4,No,27,Yes,4
5,5,4,Executive,8,2,2,Female,HR,1,5,7911,10,Married,2,43,42,3,No,21,No,1
4,5,5,Executive,10,3,1,Male,Marketing,3,26,13806,55,Single,4,56,49,1,No,30,Yes,1
5,2,1,Manager,11,3,1,Male,Marketing,1,18,7207,5,Divorced,4,35,82,2,No,14,No,4
4,2,3,Assistant,1,3,1,Female,Marketing,4,24,7766,0,Divorced,1,23,23,3,No,5,No,4
1,4,2,Assistant,5,3,3,Female,IT,1,12,11217,75,Married,3,43,36,1,No,15,No,4
9,2,3,Executive,7,2,4,Female,Marketing,1,19,6048,1,Single,1,53,75,1,No,12,Yes,2
3,4,4,Executive,8,3,1,Male,Sales,3,5,11813,35,Married,2,49,99,1,No,11,No,1
6,5,5,Assistant,7,2,1,Female,Finance,4,29,16377,72,Single,3,37,39,4,No,13,Yes,3
3,4,3,Executive,1,4,1,Female,Marketing,2,12,11908,79,Single,1,38,95,4,No,12,Yes,3
4,4,2,Executive,12,4,4,Female,Sales,3,27,10667,40,Divorced,1,50,93,4,No,19,Yes,2
1,5,2,Assistant,4,1,3,Male,Sales,3,6,10903,97,Single,4,38,55,3,Yes,42,Yes,2
2,3,5,Assistant,4,1,4,Female,IT,1,17,9725,64,Divorced,3,38,21,3,No,35,No,1
4,2,1,Analyst,9,3,1,Male,IT,1,14,7464,32,Single,4,41,73,2,No,46,No,2
3,1,3,Executive,12,1,3,Male,Finance,3,3,4845,65,Divorced,3,43,86,1,No,49,No,3
2,5,3,Executive,6,1,3,Female,Finance,1,1,15429,92,Single,3,31,81,3,No,38,No,1
1,4,2,Analyst,6,1,4,Female,HR,4,23,11205,72,Married,4,49,47,3,No,31,No,3
8,1,4,Executive,5,3,1,Female,Finance,2,13,5758,7,Single,2,57,95,2,Yes,43,No,2
1,2,3,Executive,5,1,4,Male,IT,2,18,19914,91,Married,2,50,79,1,No,28,No,1
8,1,2,Manager,9,3,2,Male,Sales,4,10,18162,2,Single,1,55,74,4,No,7,No,1
3,1,4,Manager,2,2,4,Male,HR,2,23,6404,43,Single,1,38,95,3,Yes,16,No,3
9,2,1,Manager,10,1,4,Female,Finance,2,28,19766,10,Divorced,1,55,72,4,No,49,No,4
8,4,1,Analyst,5,3,2,Male,Sales,3,19,18710,0,Single,4,49,58,3,No,2,No,4
8,4,2,Executive,1,4,4,Female,IT,1,19,12481,47,Single,2,52,62,3,No,32,No,3
9,3,2,Analyst,5,4,4,Female,Marketing,2,17,8068,69,Single,2,37,51,3,No,6,No,2
4,4,1,Analyst,4,2,4,Female,HR,1,7,16968,41,Married,3,47,39,2,No,49,No,1
6,3,2,Executive,4,1,2,Male,Sales,4,28,13229,76,Divorced,1,30,39,2,No,23,Yes,4
3,5,5,Assistant,13,1,2,Male,IT,1,8,14908,44,Divorced,2,52,71,1,No,30,No,2
9,2,3,Assistant,4,3,3,Male,IT,3,16,13644,90,Single,2,36,27,2,No,14,Yes,4
3,3,5,Executive,3,1,3,Female,HR,3,16,14686,86,Single,2,25,91,1,Yes,16,No,2
0,2,4,Assistant,6,1,3,Male,HR,2,27,16971,33,Married,1,23,26,1,No,13,No,1
9,1,2,Manager,3,3,1,Male,Finance,2,16,6014,31,Single,4,39,77,3,No,5,No,4
8,2,2,Executive,6,2,1,Female,Finance,4,20,7174,60,Divorced,4,46,76,3,No,48,Yes,3
9,2,4,Analyst,6,2,4,Female,HR,4,9,6104,92,Divorced,2,34,98,3,No,10,No,4
7,2,3,Manager,11,1,1,Male,HR,1,13,17017,5,Married,4,25,42,1,Yes,30,Yes,1
8,1,1,Analyst,10,3,2,Female,Sales,3,4,12905,77,Married,1,33,69,3,No,43,No,2
0,4,5,Assistant,2,2,3,Male,Finance,3,10,15063,77,Divorced,2,30,89,3,Yes,15,Yes,4
1,3,3,Executive,9,2,4,Female,IT,1,21,18814,96,Married,1,58,56,2,No,41,Yes,3
7,5,1,Manager,10,2,2,Female,Finance,3,27,7565,87,Single,3,28,75,4,No,32,Yes,4
7,2,1,Executive,8,2,3,Male,Finance,1,22,4538,61,Single,2,45,94,2,No,6,No,2
0,2,2,Manager,14,3,4,Female,HR,1,9,13804,34,Married,1,35,52,4,Yes,20,No,3
9,3,4,Manager,13,2,1,Female,HR,4,25,16225,10,Divorced,2,24,95,2,No,5,Yes,3
4,3,2,Manager,7,4,3,Female,Finance,3,24,15861,13,Married,4,29,19,2,Yes,43,Yes,1
5,1,4,Executive,9,2,3,Male,Marketing,3,26,11416,44,Divorced,1,22,98,4,No,8,No,2
4,3,2,Manager,8,4,3,Female,Marketing,4,28,3846,25,Married,4,32,62,1,No,10,No,3
5,1,5,Manager,9,4,4,Female,Finance,2,18,18211,89,Married,4,49,49,3,No,29,Yes,4
6,4,2,Executive,8,2,3,Male,Marketing,4,12,17582,39,Married,1,25,62,2,No,16,No,2
9,1,5,Analyst,13,1,2,Male,Finance,1,26,7069,33,Single,1,36,28,1,No,7,Yes,1
5,2,3,Assistant,3,2,3,Female,HR,4,10,9911,78,Single,1,38,68,1,No,42,Yes,1
2,5,3,Executive,10,1,3,Female,HR,3,17,12775,91,Divorced,4,54,40,3,No,18,No,4
5,2,2,Executive,1,2,4,Female,HR,2,12,15912,94,Married,3,45,57,1,No,31,Yes,2
8,1,3,Manager,11,3,4,Male,IT,1,2,12478,65,Single,2,24,56,1,No,29,No,1
5,2,1,Executive,6,3,3,Female,HR,2,14,3057,21,Married,2,48,32,1,No,37,No,2
5,4,5,Executive,12,4,4,Male,HR,4,6,12876,40,Divorced,1,56,69,2,Yes,2,Yes,3
4,4,4,Assistant,14,3,3,Male,Finance,4,11,9869,58,Single,3,39,64,2,Yes,20,Yes,4
0,5,5,Executive,3,1,1,Female,Marketing,2,14,19171,98,Divorced,1,40,35,2,No,40,Yes,3
4,5,2,Manager,3,1,2,Female,Marketing,1,23,4304,81,Single,1,29,48,4,No,7,No,3
0,4,3,Assistant,6,4,3,Male,HR,2,14,9003,31,Married,1,24,54,4,No,46,No,4
7,4,3,Executive,10,2,4,Female,HR,2,6,19796,34,Divorced,1,55,44,3,Yes,26,Yes,1
0,2,1,Manager,12,3,1,Female,HR,1,1,8136,69,Single,2,25,84,4,No,37,Yes,3
7,4,3,Assistant,9,2,2,Male,Finance,4,17,5777,3,Single,2,45,39,3,No,14,No,4
3,1,2,Executive,14,2,2,Female,Finance,1,17,3739,93,Married,1,23,83,4,Yes,22,Yes,3
2,2,2,Manager,5,3,2,Male,Finance,3,17,18783,75,Divorced,3,58,43,3,No,42,Yes,3
3,3,4,Assistant,1,2,2,Female,Marketing,2,10,10585,7,Divorced,2,58,81,2,No,48,No,3
1,5,5,Manager,10,1,4,Male,IT,4,10,16753,52,Divorced,4,54,71,1,No,15,No,4
2,5,5,Assistant,7,4,1,Male,Marketing,1,14,8621,84,Married,1,20,61,1,No,41,No,1
3,5,5,Executive,14,1,4,Female,Finance,4,1,15367,30,Single,2,43,31,3,No,20,Yes,3
8,2,4,Analyst,9,3,2,Male,Sales,1,2,4503,21,Single,3,55,63,3,Yes,26,Yes,4
9,4,4,Assistant,10,3,1,Male,IT,1,18,3827,13,Divorced,2,25,64,2,Yes,48,Yes,4
1,1,4,Executive,2,3,4,Female,HR,4,20,18089,72,Single,3,50,98,4,No,42,Yes,3
2,3,1,Assistant,9,3,3,Female,Marketing,4,3,12809,32,Divorced,1,39,19,3,No,21,No,4
3,5,4,Analyst,5,2,4,Female,IT,2,4,16355,15,Married,1,43,27,2,No,31,No,4
2,2,3,Manager,13,2,1,Male,Sales,4,5,12876,17,Married,2,44,77,4,No,46,No,4
2,1,1,Analyst,1,4,4,Male,IT,3,20,16947,15,Married,1,55,53,3,No,33,Yes,3
8,4,3,Analyst,4,3,2,Male,Marketing,4,3,8632,29,Divorced,2,40,82,1,Yes,40,Yes,3
4,3,5,Manager,8,3,4,Female,Finance,4,3,11886,11,Single,1,49,59,4,No,5,No,3
8,5,2,Analyst,3,2,2,Male,HR,1,4,19374,13,Married,4,43,31,1,No,45,Yes,3
5,4,5,Executive,5,2,4,Male,Finance,3,6,19282,93,Divorced,2,49,73,2,Yes,30,Yes,1
9,2,4,Assistant,2,1,2,Female,Finance,3,7,8523,84,Divorced,4,41,94,1,No,33,No,2
7,5,2,Analyst,5,4,4,Male,Marketing,3,4,12438,5,Married,4,47,73,1,Yes,23,Yes,3
0,2,5,Assistant,14,2,2,Female,Finance,3,24,11591,23,Married,4,26,22,4,Yes,21,Yes,1
7,4,1,Assistant,12,4,1,Female,Finance,3,15,18821,12,Married,1,54,44,1,No,39,Yes,4
0,3,4,Manager,9,3,2,Female,Marketing,1,6,18391,51,Single,2,47,17,2,Yes,31,Yes,3
8,5,5,Analyst,12,3,2,Male,Marketing,2,5,3287,91,Single,3,33,31,3,Yes,30,No,3
2,5,2,Manager,3,1,1,Male,Sales,4,8,18796,80,Divorced,4,29,65,3,No,7,Yes,3
8,1,3,Manager,7,1,2,Male,Finance,4,6,7532,73,Married,3,35,38,4,No,20,Yes,3
7,5,5,Assistant,13,1,4,Female,IT,4,17,13369,76,Married,2,35,94,4,No,1,Yes,4
6,1,1,Executive,6,2,1,Female,HR,2,16,3440,96,Single,4,50,78,2,No,16,No,4
0,4,2,Assistant,2,4,1,Female,HR,1,11,7885,70,Married,4,44,98,3,Yes,37,Yes,2
6,4,5,Manager,14,2,4,Male,Marketing,3,1,4268,68,Divorced,3,32,88,1,No,24,No,1
1,3,3,Analyst,7,3,4,Male,Marketing,1,14,9864,96,Married,4,25,85,1,No,45,No,4
1,4,4,Executive,10,3,2,Male,Sales,2,13,17565,97,Single,3,28,63,1,No,34,No,1
8,3,4,Executive,4,1,1,Male,Finance,4,10,3185,13,Divorced,4,55,34,2,No,20,No,3
8,2,4,Analyst,14,1,3,Male,Marketing,4,10,19348,84,Divorced,1,39,91,2,Yes,19,No,1
0,1,2,Analyst,6,4,4,Female,Marketing,3,22,13640,81,Married,3,37,43,1,No,8,No,4
6,2,3,Executive,7,2,3,Male,HR,2,8,6543,77,Divorced,3,40,24,2,No,11,Yes,3
4,3,3,Manager,9,3,1,Female,Finance,1,9,12671,90,Married,1,23,23,2,No,32,No,4
5,5,5,Executive,7,3,2,Female,Sales,2,4,7886,38,Married,4,52,85,2,No,3,Yes,4
0,1,4,Executive,3,1,1,Male,Marketing,1,11,7640,47,Single,1,46,77,1,No,40,Yes,3
5,2,2,Executive,9,2,4,Female,Marketing,2,23,4144,25,Divorced,2,26,47,2,No,40,No,4
0,2,4,Manager,13,3,4,Male,Marketing,1,9,3634,27,Married,3,25,38,4,No,19,Yes,2
3,2,4,Analyst,6,3,1,Male,HR,4,12,10577,64,Married,4,34,94,4,No,26,No,3
1,4,5,Analyst,4,2,2,Female,Marketing,2,13,15853,12,Married,2,37,46,2,No,4,No,1
1,5,5,Analyst,12,1,1,Male,Marketing,1,8,19916,98,Divorced,4,51,18,1,Yes,36,No,4
0,2,5,Manager,10,4,1,Male,HR,4,28,15841,85,Divorced,1,30,76,3,No,25,Yes,2
6,2,1,Manager,5,1,4,Female,Marketing,4,13,3952,44,Divorced,4,39,92,1,No,33,No,2
1,2,1,Analyst,10,2,1,Female,Finance,1,24,5805,2,Married,4,43,36,1,No,14,No,3
6,5,2,Assistant,1,2,4,Female,Finance,4,1,17363,49,Divorced,2,34,37,2,Yes,7,No,3
1,2,2,Assistant,12,2,2,Female,HR,2,26,9782,84,Married,1,26,40,3,No,26,No,3
6,1,5,Analyst,4,3,2,Female,Finance,4,22,14407,0,Divorced,1,40,63,2,No,16,Yes,3
3,4,3,Assistant,14,2,2,Female,Sales,2,11,8212,98,Divorced,4,45,58,4,No,12,Yes,1
8,4,2,Assistant,3,4,3,Male,Marketing,4,25,7130,51,Married,2,33,36,2,No,31,No,1
0,2,1,Analyst,6,1,1,Male,Sales,4,24,13765,37,Divorced,1,56,81,3,No,24,No,1
2,5,1,Analyst,9,3,1,Male,Finance,3,2,6386,9,Married,2,40,56,3,No,8,No,4
4,5,4,Manager,13,2,4,Female,HR,1,5,14069,87,Divorced,3,37,66,4,No,37,No,4
6,3,5,Assistant,3,2,2,Male,HR,4,11,12929,62,Divorced,2,24,31,1,No,12,Yes,4
6,3,3,Assistant,14,2,1,Female,Sales,2,4,14073,51,Divorced,3,22,28,1,No,36,Yes,3
5,1,5,Analyst,12,4,2,Male,Finance,1,8,19149,7,Divorced,3,42,78,1,No,14,No,1
4,1,1,Executive,5,4,2,Female,Marketing,2,25,16294,57,Single,4,45,59,2,No,19,Yes,2
4,5,3,Analyst,2,1,3,Male,Finance,1,12,13727,48,Married,1,56,78,2,No,44,No,2
3,1,2,Manager,9,1,4,Female,Finance,3,3,9090,3,Single,2,43,44,3,No,10,Yes,2
8,3,4,Executive,8,4,1,Female,HR,3,25,8495,33,Divorced,2,38,27,3,No,16,Yes,2
7,5,1,Executive,10,4,1,Female,IT,2,17,15147,31,Divorced,1,44,40,1,No,47,No,4
8,3,4,Executive,4,4,4,Female,Marketing,4,23,6552,24,Married,3,40,46,2,No,11,No,4
6,2,5,Manager,11,1,1,Male,Marketing,1,8,9547,30,Married,3,31,60,3,No,43,Yes,4
4,2,3,Assistant,8,3,4,Male,HR,1,6,13996,9,Married,3,52,65,4,No,48,No,4
9,1,5,Analyst,10,1,4,Female,Finance,3,4,12739,34,Married,1,23,48,1,No,33,No,1
1,3,4,Manager,4,2,3,Female,HR,1,4,19777,39,Divorced,3,26,90,2,No,37,Yes,3
3,5,1,Manager,2,1,1,Female,Finance,1,7,19487,76,Married,4,41,42,4,No,8,Yes,2
5,5,4,Executive,9,4,3,Male,IT,4,10,16297,59,Single,4,52,33,4,No,27,No,4
7,1,1,Executive,2,3,1,Female,IT,2,6,4743,77,Married,4,36,62,1,No,30,Yes,4
4,3,4,Manager,1,1,4,Female,Sales,4,4,16536,67,Married,2,43,86,3,Yes,12,Yes,3
8,1,5,Assistant,1,3,3,Male,Finance,3,21,8436,99,Single,2,53,48,2,No,28,No,4
3,5,4,Executive,14,2,4,Female,HR,4,10,3421,2,Single,3,47,30,4,No,13,Yes,4
5,2,2,Manager,13,3,3,Female,HR,1,20,9416,66,Single,4,58,85,1,No,9,Yes,1
3,3,5,Executive,3,1,4,Male,HR,3,17,17582,2,Single,4,41,41,1,No,43,Yes,2
5,1,4,Analyst,10,2,4,Female,Sales,3,20,9808,63,Married,2,36,65,1,Yes,25,Yes,4
9,2,4,Analyst,7,1,2,Female,Marketing,1,6,7713,47,Single,1,53,98,2,No,25,Yes,1
2,4,3,Analyst,6,4,1,Male,HR,1,11,6177,52,Divorced,4,25,68,1,No,44,No,1
7,3,5,Executive,12,1,2,Female,IT,1,18,6776,7,Married,3,25,31,3,No,16,No,1
3,5,3,Executive,13,4,2,Male,HR,2,23,19243,46,Divorced,2,53,86,2,No,10,Yes,3
6,5,5,Assistant,3,2,4,Female,HR,3,9,15598,60,Married,2,20,82,3,Yes,25,No,4
9,4,1,Analyst,5,2,1,Female,HR,3,12,17980,26,Married,4,29,15,4,No,6,Yes,4
7,3,5,Assistant,10,1,4,Female,Marketing,1,11,19633,72,Divorced,1,40,28,1,No,40,No,2
8,1,5,Manager,6,2,4,Female,HR,4,26,14659,69,Single,1,24,21,2,Yes,31,No,1
1,3,4,Manager,10,1,2,Female,Marketing,1,18,8051,19,Single,1,21,78,2,No,1,No,4
2,3,2,Analyst,2,3,4,Male,Marketing,4,23,9111,99,Divorced,4,41,86,4,No,14,No,2
8,4,5,Assistant,3,3,1,Female,Sales,2,2,7391,9,Single,4,21,22,3,No,14,No,2
6,5,3,Executive,13,1,1,Female,IT,1,16,10787,27,Married,2,29,68,1,No,14,No,1
6,2,2,Assistant,4,3,4,Male,HR,3,9,7905,67,Married,3,53,38,2,No,49,No,4
3,5,5,Manager,8,4,2,Male,HR,3,16,5336,51,Married,3,35,69,1,No,47,No,3
0,3,2,Assistant,13,4,4,Female,HR,2,12,6917,1,Single,2,58,15,1,Yes,32,Yes,4
7,5,1,Manager,11,1,4,Male,Marketing,3,17,15808,37,Single,3,41,86,2,No,25,Yes,2
9,4,2,Manager,1,2,2,Female,Finance,3,13,4114,0,Divorced,2,31,83,1,Yes,16,Yes,4
8,2,1,Assistant,9,3,2,Male,IT,1,4,16010,42,Married,3,43,46,4,Yes,49,No,1
3,2,2,Executive,1,4,1,Male,HR,1,13,9040,57,Divorced,2,59,15,2,Yes,10,No,4
0,1,2,Manager,12,2,2,Female,Finance,4,12,10967,63,Single,4,57,80,3,No,48,Yes,2
8,5,3,Assistant,3,4,3,Male,Finance,2,2,15763,2,Divorced,4,29,56,4,No,48,Yes,1
4,5,3,Manager,3,4,3,Female,Finance,1,17,17443,68,Single,2,54,93,4,Yes,14,Yes,3
5,4,4,Analyst,9,1,4,Male,IT,4,15,13168,7,Married,4,51,23,3,No,26,No,1
1,5,2,Executive,3,1,2,Male,Finance,3,13,17924,15,Married,2,26,90,4,No,41,Yes,3
